distance_km,time_left_minutes,will_be_late
7.08,52.1,0
15.19,7.2,1
17.39,53.3,1
15.51,31.4,1
9.24,88.3,0
10.7,90.5,0
14.09,74.4,0
4.71,85.7,0
14.23,79.3,0
19.03,94.2,0
2.82,61.5,0
3.55,73.7,0
18.23,34.5,1
11.58,5.4,1
13.61,60.8,0
12.56,25.7,1
19.02,53.6,1
15.28,80.1,0
10.11,61.9,0
15.56,20.6,1
12.32,36.3,1
8.83,80.8,0
6.63,35.3,0
1.39,60.2,0
17.39,37.8,1
1.62,90.0,0
6.74,77.6,0
18.65,13.2,1
8.04,70.0,0
1.3,35.8,0
0.72,74.0,0
13.42,85.1,0
18.86,31.0,1
7.67,40.8,0
16.92,77.9,0
10.95,72.0,0
19.41,26.0,1
16.79,56.3,1
13.03,39.5,1
12.63,28.4,1
7.59,44.5,0
19.28,30.9,1
6.15,73.4,0
7.67,18.7,1
17.41,63.0,1
10.79,93.9,0
3.64,58.6,0
19.03,93.9,0
14.21,78.5,0
13.44,88.3,0
16.0,25.2,1
17.86,25.8,1
0.78,71.9,0
12.51,6.0,1
19.04,90.0,0
1.38,86.0,0
19.86,43.5,1
7.44,17.5,1
19.27,46.6,1
10.31,59.0,0
6.68,85.8,0
8.66,25.2,1
17.13,58.6,1
1.22,86.0,0
16.37,88.5,0
8.23,61.9,0
12.76,14.6,1
15.65,83.7,0
14.22,87.3,0
6.91,56.1,0
9.73,54.9,0
1.4,20.5,0
14.17,67.7,0
